apt-type,city,address,rooms,floor,size,price,apt-link,attributes
דירה,אשדוד,הדקל 5,5,17,166,8600,https://www.yad2.co.il/realestate/item/f3692btv?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=17,"3 כיווני אוויר, חניה, חדש מקבלן"
דירה,אזור,בורוכוב 1,1,1,25,2900,https://www.yad2.co.il/realestate/item/wrxgrolz?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=18,"ייחודי, חבל לפספס, בהזדמנות"
דירה,רעננה,בורוכוב 39,4.5,3,128,7250,https://www.yad2.co.il/realestate/item/722i2hdy?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=18,"3 כיווני אוויר, נוף פתוח לעיר, בהזדמנות"
דירה,רמת השרון,יצחק אלחנן 8,3.5,1,100,6500,https://www.yad2.co.il/realestate/item/oodzjfio?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=18,"נוף פתוח לפארק, חבל לפספס, בהזדמנות"
דירה,ראשון לציון,תל חי 26,4.5,4,110,5600,https://www.yad2.co.il/realestate/item/8n5jq10k?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=18,"חניה, נכס עורפי, בהזדמנות"
דירה,כרמיאל,חטיבת יפתח 33,3,2,92,3700,https://www.yad2.co.il/realestate/item/k9s4t42x?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=18,"ממ""ד, נוף פתוח לעיר, חניה"
דירה,"בני עי""ש",האלה 22,2,6,40,3500,https://www.yad2.co.il/realestate/item/5leg620y?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=18,"ממ""ד, נוף פתוח לפארק, נכס עורפי"
בית פרטי/ קוטג',ירושלים,הציפורן 34,6,קרקע,490,12000,https://www.yad2.co.il/realestate/item/vbwfky35?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=18,"3 מרפסות, 4 חדרי מקלחת, 4 כיווני אוויר"
דירה,כפר יונה,חנה רובינא 1,5.5,13,200,9200,https://www.yad2.co.il/realestate/item/hiuwka9e?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=18,"ממ""ד, 3 כיווני אוויר, חניה"
דירה,הרצליה,התדהר 21,1,קרקע,16,2900,https://www.yad2.co.il/realestate/item/tvhdeccs?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=18,"בניין משופץ, חבל לפספס, בהזדמנות"
דירה,ראשון לציון,השקד 1,3.5,2,80,6400,https://www.yad2.co.il/realestate/item/5tva5d7g?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=18,"3 כיווני אוויר, נוף פתוח לעיר, בניין משופץ"
דירה,ראשון לציון,חנה סנש 8,3,3,80,4550,https://www.yad2.co.il/realestate/item/hb0105ks?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=18,"3 כיווני אוויר, נוף פתוח לעיר, בניין משופץ"
יחידת דיור,בית דגן,הגולן 26,2,קרקע,35,3600,https://www.yad2.co.il/realestate/item/byp3p1t8?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=18,"ייחודי, חבל לפספס, בהזדמנות"
דירה,תל אביב יפו,עמישב 42,4,1,110,7000,https://www.yad2.co.il/realestate/item/dgsl8bdv?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=18,"3 מרפסות, נוף פתוח לפארק, נכס עורפי"
גג/ פנטהאוז,טבריה,"הפלמ""ח 10",5.5,8,320,9000,https://www.yad2.co.il/realestate/item/byjcrzmx?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=19,"2 מרפסות, 3 כיווני אוויר, חניה"
דירה,חולון,ארלוזורוב 129,4,2,199,6500,https://www.yad2.co.il/realestate/item/vddg7n0y?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=19,"3 חדרי מקלחת, ממ""ד, 3 כיווני אוויר"
דירה,חיפה,דרך יד לבנים 35,2.5,3,62,2190,https://www.yad2.co.il/realestate/item/vbllehqv?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=19,"נוף פתוח לים, נכס עורפי, בניין משופץ"
יחידת דיור,הושעיה,שירת הים 55,2.5,1,50,3200,https://www.yad2.co.il/realestate/item/y2lzuiyn?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=19,"חניה, נכס חדש, בהזדמנות"
דירה,נתניה,משה גליקסון 33,1,4,16,1650,https://www.yad2.co.il/realestate/item/1ojlolyt?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=19,"ייחודי, חבל לפספס, בהזדמנות"
יחידת דיור,ראש העין,יורם חתוכה 55,2,1,45,4200,https://www.yad2.co.il/realestate/item/1w10mrad?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=19,"ממ""ד, חדש מקבלן, מטבח גדול"
בית פרטי/ קוטג',עצמון שגב,דרך הפשוש 1,8,קרקע,750,7800,https://www.yad2.co.il/realestate/item/mfowdkwj?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=19,"2 מרפסות, 4 כיווני אוויר, חניה"
דירה,צפת,הרקפת 2,3,2,60,2800,https://www.yad2.co.il/realestate/item/ac1ctphp?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=19,"נוף פתוח לים, בניין משופץ, קרוב לפארק"
דירה,נתניה,זלמן שניאור 31,1,4,20,1800,https://www.yad2.co.il/realestate/item/i83b727q?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=19,"גמיש במחיר, חבל לפספס, בהזדמנות"
דירה,רמת השרון,סוקולוב 86,4,2,101,8000,https://www.yad2.co.il/realestate/item/gl3ivl0s?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=19,"נוף פתוח לפארק, חניה, נכס עורפי"
דירה,תל אביב יפו,אבא אחימאיר 8,3,8,70,8000,https://www.yad2.co.il/realestate/item/2wyf5g0i?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=19,"נוף פתוח לפארק, חניה, בהזדמנות"
דירה,טבריה,ז'בוטינסקי 28,3,3,60,2100,https://www.yad2.co.il/realestate/item/n9yp6y5o?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=19,"נוף פתוח לעיר, חבל לפספס, בהזדמנות"
דירה,תל אביב יפו,פנחס רוזן 37,3,קרקע,50,6500,https://www.yad2.co.il/realestate/item/a748souf?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=19,"ממ""ד, 3 כיווני אוויר, חניה"
יחידת דיור,חיפה,עמק הזיתים 5,1.5,1,30,1600,https://www.yad2.co.il/realestate/item/o5xdkne6?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=20,"נוף פתוח לעיר, מטבח גדול, בניין משופץ"
דירה,פתח תקווה,משה סנה 16,4,7,110,8000,https://www.yad2.co.il/realestate/item/vdxmohin?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=20,"ממ""ד, 3 כיווני אוויר, חניה"
בית פרטי/ קוטג',מצובה,כפירים 1,3,קרקע,250,3400,https://www.yad2.co.il/realestate/item/hpqfhk4w?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=20,"2 מרפסות, 3 כיווני אוויר, חניה"
דירה,תל אביב יפו,קהילת פאדובה 20,4,2,120,2900,https://www.yad2.co.il/realestate/item/by3w5x7q?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=20,"3 כיווני אוויר, נוף פתוח לעיר, חניה"
דירה,בת ים,"צה""ל 4",2,1,50,2600,https://www.yad2.co.il/realestate/item/dk13e9zy?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=20,"2 מרפסות, נוף פתוח לעיר, בהזדמנות"
בית פרטי/ קוטג',כפר שמריהו,דרך האביב 14,8,קרקע,650,60000,https://www.yad2.co.il/realestate/item/htmtdqaq?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=20,"2 מרפסות, 4 חדרי מקלחת, 4 כיווני אוויר"
דירה,גבעתיים,כצנלסון 123,4,3,,3800,https://www.yad2.co.il/realestate/item/6t7ri4on?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=20,"4 חדרי מקלחת, נוף פתוח לעיר, בהזדמנות"
דירה,קרית אתא,סמטת יאיר 8,2.5,3,50,2300,https://www.yad2.co.il/realestate/item/3tkg5upg?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=20,"נוף פתוח לפארק, חניה, בניין משופץ"
דירה,רחובות,הנביאים 9,5,3,130,7900,https://www.yad2.co.il/realestate/item/cbw1sgl5?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=20,"3 חדרי מקלחת, 3 כיווני אוויר, חדש מקבלן"
יחידת דיור,כפר סבא,הר תבור 117,2,קרקע,55,4500,https://www.yad2.co.il/realestate/item/vw3teh36?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=20,"נוף פתוח לפארק, נכס חדש, מטבח גדול"
דירה,נתניה,הגילה 15,5,8,140,8260,https://www.yad2.co.il/realestate/item/7dsagfkb?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=20,"ממ""ד, 3 כיווני אוויר, חניה"
דירה,נתניה,הקבלה 23,2,1,65,4000,https://www.yad2.co.il/realestate/item/fxfqq0ud?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=20,"קו ראשון לים, ממ""ד, נכס חדש"
דירה,תל אביב יפו,מעפילי אגוז 5,4,5,84,6700,https://www.yad2.co.il/realestate/item/0izl8xug?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=20,"ממ""ד, נוף פתוח לפארק, חדש מקבלן"
דירה,באר שבע,קפריסין 26,3,3,70,2600,https://www.yad2.co.il/realestate/item/4086ov1e?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=21,"נוף פתוח לפארק, חניה, קרוב לפארק"
דירה,רמת גן,"הביל""ויים 58",3.5,4,92,6000,https://www.yad2.co.il/realestate/item/9ag48v05?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=21,"3 כיווני אוויר, נכס עורפי, בהזדמנות"
דירת גן,שלומי,הרב עוזיאל 136,4,1,150,3500,https://www.yad2.co.il/realestate/item/p4i7ceqz?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=21,"אחריי להתחדשות עירונית, 3 כיווני אוויר, נוף פתוח לעיר"
בית פרטי/ קוטג',בית שמש,מצדה 4,8,קרקע,375,19000,https://www.yad2.co.il/realestate/item/q1kfy3kn?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=21,"3 מרפסות, 4 חדרי מקלחת, 4 כיווני אוויר"
דירה,נהריה,דולב 11,4,6,122,4500,https://www.yad2.co.il/realestate/item/5mzsv8g6?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=21,"ממ""ד, נוף פתוח לים, חניה"
דירה,חיפה,דרך יד לבנים 82,2.5,1,90,3000,https://www.yad2.co.il/realestate/item/vqfd0ur9?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=21,"2 מרפסות, 3 כיווני אוויר, נוף פתוח לים"
בית פרטי/ קוטג',בית קמה,בית קמה 1,5,קרקע,500,11000,https://www.yad2.co.il/realestate/item/f92w8z7g?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=21,"2 מרפסות, 4 כיווני אוויר, חניה"
דירה,רמת גן,רוחמה 26,2,1,50,3800,https://www.yad2.co.il/realestate/item/2bm633sj?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=21,"ייחודי, חבל לפספס, בהזדמנות"
בית פרטי/ קוטג',בת חפר,בית קמה 39,6,קרקע,230,8000,https://www.yad2.co.il/realestate/item/wf9tl4q4?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=21,"ממ""ד, נוף פתוח לעיר, חניה"
דירה,כפר ורדים,דרך הורדים 11,3,3,85,3800,https://www.yad2.co.il/realestate/item/teczynz8?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=21,"ממ""ד, נוף פתוח לים, חניה"
דירה,עכו,נתיב חטיבת גולני 23,3,3,65,2700,https://www.yad2.co.il/realestate/item/m4h97meg?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=21,"נוף פתוח לעיר, חניה, קרוב לים"
דירה,תל אביב יפו,פרישמן 16,1,1,25,3200,https://www.yad2.co.il/realestate/item/zto12hwo?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=21,"נוף פתוח לעיר, חבל לפספס, בהזדמנות"
דירה,הרצליה,אריק איינשטיין 26,3,3,102,9700,https://www.yad2.co.il/realestate/item/lk9nhxoj?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=21,"ממ""ד, חניה, נכס חדש"
דירה,רמת השרון,החלוץ 15,5,21,135,9500,https://www.yad2.co.il/realestate/item/w08uef7u?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=22,"ממ""ד, חניה, נכס חדש"
דירה,ראשון לציון,רוטשילד 76,3,5,100,5790,https://www.yad2.co.il/realestate/item/pegnbm8h?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=22,"3 כיווני אוויר, נכס עורפי, בהזדמנות"
דירה,חולון,ההסתדרות 169,2.5,1,60,4400,https://www.yad2.co.il/realestate/item/2y8ytgkb?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=22,"בניין משופץ, חבל לפספס, בהזדמנות"
דירת גן,צור נתן,5533 1,3,קרקע,330,5700,https://www.yad2.co.il/realestate/item/69rsda4f?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=22,"ממ""ד, 3 כיווני אוויר, חניה"
בית פרטי/ קוטג',מולדת,הראשונים 1,5.5,קרקע,580,לא צוין מחיר,https://www.yad2.co.il/realestate/item/9o6nwel4?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=22,"2 מרפסות, 3 חדרי מקלחת, 4 כיווני אוויר"
דירה,באר יעקב,לאה גולדברג 10,5,6,145,7900,https://www.yad2.co.il/realestate/item/vsk0t47v?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=22,"2 מרפסות, חניה, חדש מקבלן"
דירה,חיפה,מסדה 21,3.5,1,85,3300,https://www.yad2.co.il/realestate/item/aicippsp?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=22,"3 כיווני אוויר, נוף פתוח לעיר, בהזדמנות"
דירה,חיפה,שדרות דגניה 22,2.5,3,60,2100,https://www.yad2.co.il/realestate/item/397c65ii?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=22,"נוף פתוח לעיר, קרוב לים, בהזדמנות"
דירה,ראשון לציון,הגדוד העברי 25,4.5,2,102,5400,https://www.yad2.co.il/realestate/item/il1z23vl?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=22,"4 כיווני אוויר, נוף פתוח לעיר, בניין משופץ"
דירה,בני ברק,רבי עקיבא 63,5,2,102,7200,https://www.yad2.co.il/realestate/item/pu79e368?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=22,"ממ""ד, נכס חדש, מטבח גדול"
דירה,גבעת שמואל,הנשיא 16,2,1,50,3800,https://www.yad2.co.il/realestate/item/4hb9oltr?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=22,"נוף פתוח לעיר, חבל לפספס, בהזדמנות"
דירה,ראשון לציון,הרצל 33,3.5,3,70,4200,https://www.yad2.co.il/realestate/item/yyp41ev9?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=22,"בניין משופץ, חבל לפספס, בהזדמנות"
דירה,רמת גן,בית שמאי 7,4,2,85,7900,https://www.yad2.co.il/realestate/item/4pxxf4lk?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=22,"ממ""ד, חניה, בניין משופץ"
דו משפחתי,רמת ישי,הארז 49,6,קרקע,220,7500,https://www.yad2.co.il/realestate/item/3y5qga57?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=23,"3 חדרי מקלחת, 3 כיווני אוויר, חניה"
דירה,נהריה,כליל החורש 11,5,5,140,4600,https://www.yad2.co.il/realestate/item/jssj7337?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=23,"ממ""ד, 3 כיווני אוויר, חניה"
דירה,באר שבע,גוש עציון 16,3,7,110,3900,https://www.yad2.co.il/realestate/item/7my6z0ej?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=23,"ממ""ד, נוף פתוח לעיר, חניה"
דו משפחתי,בית אריה / עופרים,כרמים 9,7,קרקע,210,7600,https://www.yad2.co.il/realestate/item/2lmx9tuv?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=23,"ממ""ד, נוף פתוח לעיר, נכס חדש"
בית פרטי/ קוטג',אומן,דרך הגלבוע 116,6,קרקע,500,9600,https://www.yad2.co.il/realestate/item/6dfvc51x?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=23,"3 חדרי מקלחת, 4 כיווני אוויר, חניה"
דירה,טבריה,כליל החורש 2,3.5,1,75,3300,https://www.yad2.co.il/realestate/item/5jvfqlvc?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=23,"ממ""ד, נוף פתוח לים, חניה"
דירה,חריש,ברקת 31,4,3,106,3800,https://www.yad2.co.il/realestate/item/uzmukthl?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=23,"ממ""ד, נוף פתוח לעיר, חניה"
דירה,חיפה,נורית 32,4,1,103,4900,https://www.yad2.co.il/realestate/item/dxva9fsu?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=23,"ממ""ד, 3 כיווני אוויר, חניה"
גג/ פנטהאוז,קרית ביאליק,אריק אינשטיין 1,5,24,200,8900,https://www.yad2.co.il/realestate/item/mten9frz?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=23,"2 מרפסות, 3 כיווני אוויר, חדש מקבלן"
דירה,בני ברק,שבטי ישראל 35,4,4,85,5950,https://www.yad2.co.il/realestate/item/w2g7dtad?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=23,"3 כיווני אוויר, נוף פתוח לעיר, חדש מקבלן"
דו משפחתי,בנימינה גבעת עדה,השעורה 16,5,קרקע,170,11300,https://www.yad2.co.il/realestate/item/6ss43ovz?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=23,"ממ""ד, חניה, יחידת הורים"
דירת גן,חיפה,התקווה 20,3.5,קרקע,120,4600,https://www.yad2.co.il/realestate/item/pxmbjhxs?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=23,"2 מרפסות, 3 כיווני אוויר, בניין משופץ"
דירה,תל אביב יפו,יוניצמן 21,1,3,30,4700,https://www.yad2.co.il/realestate/item/73ryze6b?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=23,"נוף פתוח לים, בניין משופץ, בהזדמנות"
דירה,פתח תקווה,"הפלמ""ח 24",7,4,162,9900,https://www.yad2.co.il/realestate/item/mchgf71j?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=24,"4 חדרי מקלחת, 3 כיווני אוויר, חדש מקבלן"
דירה,בת ים,רוטשילד 27,4.5,3,115,6700,https://www.yad2.co.il/realestate/item/3n630i1h?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=24,"נוף פתוח לעיר, מטבח גדול, בהזדמנות"
דירת גן,בוסתן הגליל,דרך הים 6,3,קרקע,87,3400,https://www.yad2.co.il/realestate/item/bad8g9pa?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=24,"ממ""ד, 3 כיווני אוויר, נוף פתוח לפארק"
דירה,תל אביב יפו,קהילת פאדובה 14,5.5,2,147,12300,https://www.yad2.co.il/realestate/item/gfx9hsgi?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=24,"3 חדרי מקלחת, 4 כיווני אוויר, חניה"
דירה,רמת גן,"הביל""ויים 44",4,8,82,5940,https://www.yad2.co.il/realestate/item/ygtl7nqw?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=24,"חניה, קרוב לפארק, בהזדמנות"
דירה,תל אביב יפו,לויטן 8,4,7,120,12000,https://www.yad2.co.il/realestate/item/2gth79qb?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=24,"3 כיווני אוויר, נוף פתוח לעיר, חניה"
דירה,פתח תקווה,יהודה לייב פינסקר 99,3,7,87,7250,https://www.yad2.co.il/realestate/item/rgz4xdr5?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=24,"ממ""ד, 3 כיווני אוויר, חניה"
דירה,קרית גת,אלי כהן 5,4,12,128,5200,https://www.yad2.co.il/realestate/item/r9h0zq9o?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=24,"ממ""ד, 3 כיווני אוויר, חניה"
יחידת דיור,יבנאל,דרך ההר 1,3.5,קרקע,90,5000,https://www.yad2.co.il/realestate/item/9iddky74?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=24,"4 כיווני אוויר, חניה, חדש מקבלן"
דירה,ירושלים,האנפה 309,3,קרקע,80,5500,https://www.yad2.co.il/realestate/item/zhmw4pv3?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=24,"4 כיווני אוויר, בניין משופץ, בהזדמנות"
יחידת דיור,נתניה,רבי עקיבא 57,1.5,קרקע,30,3300,https://www.yad2.co.il/realestate/item/i4g6ddxm?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=24,"ממ""ד, נכס עורפי, בהזדמנות"
דירה,חיפה,שדרות הצבי 28,3,2,100,4600,https://www.yad2.co.il/realestate/item/zrqlt282?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=24,"נוף פתוח לים, נכס עורפי, בהזדמנות"
דירה,נתניה,שלמה המלך 3,3,10,80,5500,https://www.yad2.co.il/realestate/item/mixc2xfg?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=24,"4 כיווני אוויר, נוף פתוח לים, חניה"
דירה,נתניה,יואל סלומון 6,5,7,120,6300,https://www.yad2.co.il/realestate/item/4w72t8a7?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=25,"3 כיווני אוויר, נוף פתוח לעיר, חניה"
דירה,חולון,ששת הימים 18,3.5,1,84,5000,https://www.yad2.co.il/realestate/item/k3hmguzi?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=25,"נוף פתוח לעיר, חניה, נכס עורפי"
דירה,בת ים,חלמית 6,3.5,3,84,4900,https://www.yad2.co.il/realestate/item/9cd685fo?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=25,"3 כיווני אוויר, נוף פתוח לפארק, נכס עורפי"
דירה,עכו,זאב ז'בוטינסקי 25,2,4,50,1700,https://www.yad2.co.il/realestate/item/3dkvij3z?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=25,"נוף פתוח לים, חבל לפספס, בהזדמנות"
דירה,נהריה,הרצל 45,4,1,100,4500,https://www.yad2.co.il/realestate/item/3g7ezasx?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=25,"3 כיווני אוויר, חניה, בניין משופץ"
דירה,חיפה,חטיבת כרמלי 41,2,קרקע,35,2200,https://www.yad2.co.il/realestate/item/ujg4w34e?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=25,"ממ""ד, חניה, בניין משופץ"
בית פרטי/ קוטג',מגדל העמק,הפרדס 1,4,קרקע,250,5800,https://www.yad2.co.il/realestate/item/wfzl16sj?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=25,"3 מרפסות, 3 כיווני אוויר, חניה"
תיירות ונופש,ירושלים,המלך ג'ורג' 18,2,5,30,6501,https://www.yad2.co.il/realestate/item/mk4yv3rj?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=25,"ייחודי, חבל לפספס, בהזדמנות"
דירת גן,מעלה אדומים,הכינור 10,4.5,קרקע,120,4950,https://www.yad2.co.il/realestate/item/dwd8rl0l?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=25,"3 כיווני אוויר, נוף פתוח לעיר, חניה"
דירה,חיפה,חטיבת עודד 4,4,2,90,4500,https://www.yad2.co.il/realestate/item/1i3cq0b1?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=25,"ממ""ד, נוף פתוח לפארק, בניין משופץ"
דירה,באר שבע,סמטת קדש 30,4,4,68,1050,https://www.yad2.co.il/realestate/item/vmf82o5c?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=25,"נכס עורפי, חבל לפספס, בהזדמנות"
דירה,ראשון לציון,החפץ חיים 9,3,2,90,4300,https://www.yad2.co.il/realestate/item/9tn1uv5p?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=25,"נכס עורפי, בניין משופץ, קרוב לפארק"
דירה,קרית גת,רחבת יפתח הגלעדי 9,4,1,124,4000,https://www.yad2.co.il/realestate/item/ns2qg6za?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=25,"3 כיווני אוויר, נוף פתוח לפארק, נכס עורפי"
דירה,כפר סבא,הגליל 45,4,1,95,7500,https://www.yad2.co.il/realestate/item/jv507rpv?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=26,"3 כיווני אוויר, חניה, בניין משופץ"
דירה,חיפה,בן שמן 6,1.5,4,35,2200,https://www.yad2.co.il/realestate/item/b9q35zym?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=26,"בניין משופץ, חבל לפספס, בהזדמנות"
דירה,תל אביב יפו,חיים בן עטר 11,1.5,קרקע,44,510001072,https://www.yad2.co.il/realestate/item/1hjmf6b2?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=26,"ייחודי, חבל לפספס, בהזדמנות"
דירה,ירושלים,לייב יפה 4,4,2,100,6700,https://www.yad2.co.il/realestate/item/x9356wg8?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=26,"2 מרפסות, 3 כיווני אוויר, חניה"
דירה,תל אביב יפו,גבעתי 6,2,2,50,4500,https://www.yad2.co.il/realestate/item/w9zj3u6s?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=26,"נוף פתוח לעיר, נכס עורפי, בניין משופץ"
דירה,תל אביב יפו,בארט 8,3,4,63,7200,https://www.yad2.co.il/realestate/item/pkyznrbe?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=26,"ייחודי, חבל לפספס, בהזדמנות"
דירה,בת ים,הנביאים 11,3,6,96,6500,https://www.yad2.co.il/realestate/item/hhxpl5t1?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=26,"ממ""ד, 4 כיווני אוויר, חדש מקבלן"
דירה,חיפה,תל חי 30,1.5,1,90,2600,https://www.yad2.co.il/realestate/item/8jjtzz78?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=26,"חדש מקבלן, בניין משופץ, בהזדמנות"
דו משפחתי,קרית טבעון,הכלניות 12,4.5,קרקע,1000,9000,https://www.yad2.co.il/realestate/item/kggcy3u6?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=26,"2 מרפסות, 4 כיווני אוויר, חניה"
דירה,קרית אתא,הרב הרצוג 36,2,3,35,1800,https://www.yad2.co.il/realestate/item/052ohjk7?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=26,"נוף פתוח לפארק, בניין משופץ, בהזדמנות"
דירה,חיפה,חניתה 37,1,קרקע,31,2850,https://www.yad2.co.il/realestate/item/if39as2y?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=26,"נוף פתוח לעיר, בניין משופץ, בהזדמנות"
סטודיו/ לופט,תל אביב יפו,שיינקין 11,1,1,30,4600,https://www.yad2.co.il/realestate/item/5mw62lrw?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=26,"חבל לפספס, בהזדמנות"
דירה,באר שבע,עוזיה המלך 10,2.5,קרקע,70,2400,https://www.yad2.co.il/realestate/item/qc12v3tw?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=26,"3 כיווני אוויר, בניין משופץ, בהזדמנות"
