apt-type,city,address,rooms,floor,size,price,apt-link
יחידת דיור,הוד השרון,המנחם,1.5,0,36,3800,"https://www.homeless.co.il/rent/viewad,719562.aspx"
יחידת דיור,הושעיה,שירת הים 55,2.5,1,50,3200,https://www.yad2.co.il/realestate/item/y2lzuiyn?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=19
תיירות ונופש,הושעיה,קטיף 80,3,0,50,725,https://www.yad2.co.il/realestate/item/5d1dmjjk?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=71
יחידת דיור,הילה,דולב 32,2.5,0,80,3150,"https://www.homeless.co.il/rent/viewad,705099.aspx"
דירת גן,הר אדר,מבוא הכרמים 27,2.5,1,80,4500,https://www.yad2.co.il/realestate/item/i76h71qu?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=96
דירת גן,הרצליה,"כ""ט בנובמבר 9",4,0,130,8500,https://www.yad2.co.il/realestate/item/5dx9tsz0?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=3
דירה,הרצליה,השונית 10,2,11,70,8000,https://www.yad2.co.il/realestate/item/9i68l0xh?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=6
דירה,הרצליה,בר כוכבא 117,4,4,135,8300,https://www.yad2.co.il/realestate/item/op5t1t7w?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=10
דירה,הרצליה,יהודה הלוי 32,4,1,114,8700,https://www.yad2.co.il/realestate/item/70qfw13m?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=12
דירה,הרצליה,הגאון מוילנה 10,2,2,40,4500,https://www.yad2.co.il/realestate/item/o6yqmg7w?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=17
דירה,הרצליה,התדהר 21,1,0,16,2900,https://www.yad2.co.il/realestate/item/tvhdeccs?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=18
דירה,הרצליה,אריק איינשטיין 26,3,3,102,9700,https://www.yad2.co.il/realestate/item/lk9nhxoj?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=21
דירה,הרצליה,אחד העם 28,5,3,180,9700,https://www.yad2.co.il/realestate/item/w9cmlwvm?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=28
בית פרטי/ קוטג',הרצליה,שלווה 1,4.5,0,200,17900,https://www.yad2.co.il/realestate/item/wxgdsueq?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=36
יחידת דיור,הרצליה,"לח""י 1",2,0,50,5500,https://www.yad2.co.il/realestate/item/7l281tgt?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=38
דירה,הרצליה,אלי לנדאו 4,1,5,45,10000,https://www.yad2.co.il/realestate/item/ehmkzv4x?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=38
גג/ פנטהאוז,הרצליה,בר כוכבא 37,5.5,7,260,17000,https://www.yad2.co.il/realestate/item/7aqc32e1?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=39
בית פרטי/ קוטג',הרצליה,הקידמה 4,5,0,380,15500,https://www.yad2.co.il/realestate/item/ywfjah9a?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=42
דירה,הרצליה,החלוץ 20,5,2,120,9500,https://www.yad2.co.il/realestate/item/vij66zyx?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=42
בית פרטי/ קוטג',הרצליה,צבי שפירא 21,4,2,220,8100,https://www.yad2.co.il/realestate/item/9kb4e5nh?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=43
דירה,הרצליה,וייצמן 23,4,1,130,8500,https://www.yad2.co.il/realestate/item/cmg223rq?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=43
דירה,הרצליה,אמה טאובר פרידמן 7,3,2,86,6800,https://www.yad2.co.il/realestate/item/frrd1lmk?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=46
דירה,הרצליה,השרון 36,4,4,98,6950,https://www.yad2.co.il/realestate/item/8ru2wo46?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=47
גג/ פנטהאוז,הרצליה,מלכי יהודה 14,6,3,200,13300,https://www.yad2.co.il/realestate/item/gfxodmax?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=51
דירה,הרצליה,קיבוץ גלויות 77,2.5,1,125,5000,https://www.yad2.co.il/realestate/item/sbdh4i65?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=62
בית פרטי/ קוטג',הרצליה,צלע דרום 6,8,0,430,35000,https://www.yad2.co.il/realestate/item/ontu38va?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=64
דירת גן,הרצליה,שמואל הנגיד 22,4.5,0,230,12500,https://www.yad2.co.il/realestate/item/wdxgy3ja?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=65
דירה,הרצליה,אוסישקין 12,1.5,0,70,4990,https://www.yad2.co.il/realestate/item/06763k87?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=67
דירה,הרצליה,לוין שמעון זאב 28,5,5,130,9450,https://www.yad2.co.il/realestate/item/z2w3ls1l?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=68
יחידת דיור,הרצליה,יצחק שדה 44,1.5,0,50,4700,https://www.yad2.co.il/realestate/item/5qsxolrb?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=69
דירה,הרצליה,יורדי ים 1,2,1,47,6500,https://www.yad2.co.il/realestate/item/88tdiaww?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=69
בית פרטי/ קוטג',הרצליה,נורדאו 91,9,0,450,20000,https://www.yad2.co.il/realestate/item/8jxwybyd?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=70
דירת גן,הרצליה,שדרות נווה עובד 17,4,1,217,16000,https://www.yad2.co.il/realestate/item/yzdb2oyd?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=75
בית פרטי/ קוטג',הרצליה,בורוכוב 43,3.5,0,430,9500,https://www.yad2.co.il/realestate/item/7zzf80ee?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=77
תיירות ונופש,הרצליה,השונית 10,2,3,60,750,https://www.yad2.co.il/realestate/item/xl3noqh0?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=81
דירה,הרצליה,בר כוכבא 63,5,12,146,12500,https://www.yad2.co.il/realestate/item/8nerm55x?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=95
דירה,הרצליה,י.ל. גורדון 11,3,2,68,6500,https://www.yad2.co.il/realestate/item/kpnidl4u?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=98
דירה,הרצליה,הבעש''ט,4,2,105,5900,"https://www.homeless.co.il/rent/viewad,707135.aspx"
דירה,הרצליה,מזא''ה,5,2,105,7000,"https://www.homeless.co.il/rent/viewad,717107.aspx"
דירה,הרצליה,בר כוכבא,5,3,135,9800,"https://www.homeless.co.il/rent/viewad,719979.aspx"
דירה,הרצליה,סוקולוב,2,7,60,6200,"https://www.homeless.co.il/rent/viewad,715080.aspx"
דירה,הרצליה,רביבים,2.5,1,55,4500,"https://www.homeless.co.il/rent/viewad,709560.aspx"
דירה,הרצליה,העוגן,3,4,80,12900,"https://www.homeless.co.il/rent/viewad,715579.aspx"
יחידת דיור,הרצליה,אל על,2,2,50,6200,"https://www.homeless.co.il/rent/viewad,714264.aspx"
דירת גג,הרצליה,הצנחנים,2.5,2,70,5300,"https://www.homeless.co.il/rent/viewad,709868.aspx"
בית פרטי,הרצליה,אחד העם,4,0,150,11900,"https://www.homeless.co.il/rent/viewad,716837.aspx"
בית פרטי,הרצליה,צביה לובטקין,6,0,210,3600,"https://www.homeless.co.il/rent/viewad,719283.aspx"
דירת גג,הרצליה פיתוח,גולדה מאיר 25,2,1,60,7000,"https://www.homeless.co.il/rent/viewad,715162.aspx"
דירה,זכרון יעקב,אלי כהן 209,4,0,120,5600,https://www.yad2.co.il/realestate/item/7wz403z7?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=11
גג/ פנטהאוז,זכרון יעקב,הכרכום 26,5,6,270,9800,https://www.yad2.co.il/realestate/item/y9miuvwn?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=80
בית פרטי,זרחיה,החיטה,4,0,120,5500,"https://www.homeless.co.il/rent/viewad,717350.aspx"
בית פרטי/ קוטג',חדרה,חיים משה שפירא 16,5,0,250,7500,https://www.yad2.co.il/realestate/item/ntzceq53?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=2
בית פרטי/ קוטג',חדרה,ירושלים 38,5,0,220,8500,https://www.yad2.co.il/realestate/item/3q94y4h7?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=9
דירה,חדרה,שדרות הנשיא וייצמן 42,2.5,1,70,2850,https://www.yad2.co.il/realestate/item/kq6wsj42?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=17
בית פרטי/ קוטג',חדרה,הברוש 6,6,0,250,10500,https://www.yad2.co.il/realestate/item/6yuvi5u3?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=34
דו משפחתי,חדרה,נווה ים 12,7,0,255,13500,https://www.yad2.co.il/realestate/item/wr9p4ldd?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=41
בית פרטי/ קוטג',חדרה,שדרות מנחם בגין 1,3.5,0,120,7500,https://www.yad2.co.il/realestate/item/6e0nipp6?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=65
דירה,חדרה,שדרות מנחם בגין 26,4,2,112,6300,https://www.yad2.co.il/realestate/item/j1jjesnx?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=74
דירה,חדרה,הנגב 15,3,0,50,3972,https://www.yad2.co.il/realestate/item/va2fqhfu?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=84
דירה,חדרה,שדרות מנחם בגין 10,2,2,45,5000,https://www.yad2.co.il/realestate/item/o2el2coj?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=87
בית פרטי/ קוטג',חדרה,"כ""ט בנובמבר 43",4,0,312,7900,https://www.yad2.co.il/realestate/item/eq0g7hno?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=92
דירת גן,חדרה,ביאליק 63,3,0,95,4200,https://www.yad2.co.il/realestate/item/0ckzs9bl?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=95
דירה,חדרה,"תרנ""א 34",4,3,140,5500,https://www.yad2.co.il/realestate/item/gfp0moay?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=96
דירה,חדרה,פרנק 22,4.5,7,120,5200,https://www.yad2.co.il/realestate/item/ar5vi8gk?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=100
דירה,חדרה,הרברט סמואל,2,0,45,3300,"https://www.homeless.co.il/rent/viewad,711658.aspx"
דירה,חדרה,הנבל 9,5,4,122,5650,"https://www.homeless.co.il/rent/viewad,720124.aspx"
דירה,חדרה,חזני מיכאל 16,3,2,80,3200,"https://www.homeless.co.il/rent/viewad,710455.aspx"
דופלקס,חדרה,מנחם בגין 39,5,8,164,8700,"https://www.homeless.co.il/rent/viewad,714868.aspx"
בית פרטי,חדרה,חובבי ציון,5,0,500,7500,"https://www.homeless.co.il/rent/viewad,714687.aspx"
יחידת דיור,חדרה,הרמבן,2,0,40,3200,"https://www.homeless.co.il/rent/viewad,716811.aspx"
דירה,חולון,יבנה 14,3,1,74,4600,https://www.yad2.co.il/realestate/item/zyw5tvkd?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=8
דירה,חולון,ארלוזורוב 8,3,3,90,5800,https://www.yad2.co.il/realestate/item/sfrxf7qr?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=11
דירה,חולון,עמק דותן 2,5,4,100,6800,https://www.yad2.co.il/realestate/item/hcm8wkce?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=12
דירה,חולון,השומר 5,2.5,4,61,3800,https://www.yad2.co.il/realestate/item/w8oon7ns?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=15
דירה,חולון,"צבי ש""ץ 65",5,2,100,7000,https://www.yad2.co.il/realestate/item/9l4ihipw?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=15
דירה,חולון,ארלוזורוב 129,4,2,199,6500,https://www.yad2.co.il/realestate/item/vddg7n0y?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=19
דירה,חולון,ההסתדרות 169,2.5,1,60,4400,https://www.yad2.co.il/realestate/item/2y8ytgkb?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=22
דירה,חולון,ששת הימים 18,3.5,1,84,5000,https://www.yad2.co.il/realestate/item/k3hmguzi?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=25
דירה,חולון,הר הצופים 43,3,1,70,4350,https://www.yad2.co.il/realestate/item/gwo4kiz7?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=28
דירה,חולון,וולפסון 13,3.5,2,65,5100,https://www.yad2.co.il/realestate/item/hnf6jqd0?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=28
דירה,חולון,"הגר""א 13",3,3,68,5300,https://www.yad2.co.il/realestate/item/y3f676bl?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=29
דירה,חולון,אריה שנקר 83,4,1,100,4900,https://www.yad2.co.il/realestate/item/kqihrb79?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=36
דירה,חולון,כיכר השבעה 3,3,1,90,4300,https://www.yad2.co.il/realestate/item/khiv7z7v?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=39
דירה,חולון,אליעזר הופיין 21,3.5,1,70,6000,https://www.yad2.co.il/realestate/item/mqq6mi5s?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=41
דירה,חולון,אילת 40,3.5,1,80,5200,https://www.yad2.co.il/realestate/item/5rkjlom5?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=44
דירה,חולון,אוסישקין 12,1,1,1,2300,https://www.yad2.co.il/realestate/item/kopc7app?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=45
יחידת דיור,חולון,גלעדי אהרון 10,3,0,80,4900,https://www.yad2.co.il/realestate/item/83xnl98p?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=45
דירה,חולון,אריה שנקר 74,3,4,75,4100,https://www.yad2.co.il/realestate/item/0wvqphpn?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=45
דירה,חולון,רפאל איתן 5,5,4,120,9000,https://www.yad2.co.il/realestate/item/rao3bpnc?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=46
דירה,חולון,קדושי קהיר 24,4,12,100,5800,https://www.yad2.co.il/realestate/item/377maybk?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=48
דירה,חולון,ההסתדרות 95,1,3,56,2000,https://www.yad2.co.il/realestate/item/lbs0eq18?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=53
דירה,חולון,ההסתדרות 29,4,1,100,6500,https://www.yad2.co.il/realestate/item/y96vnbnr?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=53
דירה,חולון,ארלוזורוב 7,2.5,2,55,4700,https://www.yad2.co.il/realestate/item/0jxing1e?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=53
דירה,חולון,"ביל""ו 5",5,5,110,8100,https://www.yad2.co.il/realestate/item/yl7f1yhe?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=54
דירה,חולון,ההסתדרות 95,1,3,56,2000,https://www.yad2.co.il/realestate/item/lbs0eq18?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=55
דירה,חולון,ההסתדרות 29,4,1,100,6500,https://www.yad2.co.il/realestate/item/y96vnbnr?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=55
דירה,חולון,"ביל""ו 5",5,5,110,8100,https://www.yad2.co.il/realestate/item/yl7f1yhe?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=56
דירה,חולון,ארלוזורוב 10,2,0,50,3600,https://www.yad2.co.il/realestate/item/gdj521hh?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=59
דירה,חולון,אליעזר הופיין 60,5,1,110,7150,https://www.yad2.co.il/realestate/item/0pwpl5w6?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=61
דירה,חולון,הכנסת 1,3,4,66,4500,https://www.yad2.co.il/realestate/item/2q3cxizd?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=65
דירה,חולון,אילת 66,4,6,110,6900,https://www.yad2.co.il/realestate/item/bjiepziw?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=65
דירה,חולון,הרב יצחק הלוי 8,3.5,4,90,4700,https://www.yad2.co.il/realestate/item/8botpdfv?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=66
דירה,חולון,סוקולוב 49,4,4,100,5750,https://www.yad2.co.il/realestate/item/lug4mjua?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=66
דירה,חולון,אילת 17,4,5,100,5800,https://www.yad2.co.il/realestate/item/9s26upr3?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=69
דירה,חולון,בית לחם 16,4,3,75,5300,https://www.yad2.co.il/realestate/item/nujsp472?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=71
דירה,חולון,קדושי קהיר 3,4,8,100,5800,https://www.yad2.co.il/realestate/item/0amand1b?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=72
דירה,חולון,אליהו קראוזה 65,4,3,90,6600,https://www.yad2.co.il/realestate/item/lg4qlc7w?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=74
דירה,חולון,אריה שנקר 18,2.5,5,75,4950,https://www.yad2.co.il/realestate/item/ilafwfr5?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=74
דירה,חולון,רחבעם זאבי 20,3.5,3,80,5500,https://www.yad2.co.il/realestate/item/jmrmh028?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=75
דירה,חולון,"מזא""ה 6",3.5,4,72,5100,https://www.yad2.co.il/realestate/item/tg9w9ak1?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=76
דירה,חולון,משעול היהלום 19,4,7,110,6900,https://www.yad2.co.il/realestate/item/vm7i7ge2?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=77
דירה,חולון,אנה פרנק 6,4,7,100,5500,https://www.yad2.co.il/realestate/item/cssxfajd?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=79
דירה,חולון,חיים וייצמן 70,3,1,80,4500,https://www.yad2.co.il/realestate/item/yn7t7ls3?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=83
דירה,חולון,שדרות דב הוז 74,2,3,27,3400,https://www.yad2.co.il/realestate/item/w7kdsftp?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=84
דירה,חולון,קדושי קהיר 24,4,10,70,5500,https://www.yad2.co.il/realestate/item/hbpfh9wh?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=93
דירה,חולון,ברזילי 10,3,2,60,4800,https://www.yad2.co.il/realestate/item/3n15yiaf?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=95
דירה,חולון,שדרות דב הוז 77,3,3,54,4250,https://www.yad2.co.il/realestate/item/w3apqd8s?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=95
דירה,חולון,המתמיד,5.5,2,158,10000,"https://www.homeless.co.il/rent/viewad,716669.aspx"
דירה,חולון,אילת,1,0,25,2300,"https://www.homeless.co.il/rent/viewad,715006.aspx"
דירה,חולון,אילת,1,0,25,2300,"https://www.homeless.co.il/rent/viewad,711590.aspx"
דירה,חולון,התנאים,5,0,72,5200,"https://www.homeless.co.il/rent/viewad,714971.aspx"
דירה,חולון,אילת,2,0,45,3600,"https://www.homeless.co.il/rent/viewad,715006.aspx"
דירה,חולון,אילת,2,0,45,3600,"https://www.homeless.co.il/rent/viewad,711590.aspx"
דירה,חולון,דוד אלעזר,5,4,125,6500,"https://www.homeless.co.il/rent/viewad,719775.aspx"
דירה,חולון,החרמון 1,3.5,3,80,4100,"https://www.homeless.co.il/rent/viewad,713260.aspx"
דירה,חולון,אליהו קראוזה,2.5,3,58,4100,"https://www.homeless.co.il/rent/viewad,707452.aspx"
דירה,חולון,אורי צבי גרינברג,4,2,104,6700,"https://www.homeless.co.il/rent/viewad,713143.aspx"
דירה,חולון,אליהו קראוזה 38,4,1,90,5400,"https://www.homeless.co.il/rent/viewad,708114.aspx"
דירה,חולון,חיים וייצמן,4,4,90,5000,"https://www.homeless.co.il/rent/viewad,716769.aspx"
דירה,חולון,מניה וישראל שוחט,3.5,4,105,5500,"https://www.homeless.co.il/rent/viewad,715943.aspx"
דירה,חולון,סוקולוב 111,3,1,70,4500,"https://www.homeless.co.il/rent/viewad,713265.aspx"
דירה,חולון,ראש פינה,3,2,70,4500,"https://www.homeless.co.il/rent/viewad,710397.aspx"
דירה,חולון,חיים סירני,3,2,100,4950,"https://www.homeless.co.il/rent/viewad,712089.aspx"
דירה,חולון,אילת 86,3,3,70,4300,"https://www.homeless.co.il/rent/viewad,707772.aspx"
דירת גג,חולון,המעפילים,4,3,140,6000,"https://www.homeless.co.il/rent/viewad,716121.aspx"
דירת גג,חולון,המעפילים,4,3,140,6000,"https://www.homeless.co.il/rent/viewad,715803.aspx"
יחידת דיור,חולון,ארבע ארצות,1.5,1,45,3500,"https://www.homeless.co.il/rent/viewad,719466.aspx"
דירת גג,חולון,יריחו,5,6,150,6900,"https://www.homeless.co.il/rent/viewad,709918.aspx"
דופלקס,חולון,רחל,6.5,1,140,8300,"https://www.homeless.co.il/rent/viewad,715724.aspx"
דירת גג,חולון,הגאונים,5.5,2,168,11000,"https://www.homeless.co.il/rent/viewad,710622.aspx"
בית פרטי,חולון,המעפילים,1,0,37,3400,"https://www.homeless.co.il/rent/viewad,716121.aspx"
בית פרטי,חולון,המעפילים,1,0,37,3400,"https://www.homeless.co.il/rent/viewad,715803.aspx"
בית פרטי/ קוטג',חיבת ציון,מגשימים 10,6,0,350,17250,https://www.yad2.co.il/realestate/item/72v5kx7t?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=12
בית פרטי/ קוטג',חיבת ציון,מגשימים 13,6,0,350,16000,https://www.yad2.co.il/realestate/item/m3vm8zov?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=28
דירה,חיפה,המלך שלמה 45,4,1,80,4700,https://www.yad2.co.il/realestate/item/q8rsaq3u?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=1
דירה,חיפה,דרך אריק שרון 13,6,3,172,8900,https://www.yad2.co.il/realestate/item/f5j886qs?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=2
דירה,חיפה,"שדרות מח""ל 41",3,1,63,1800,https://www.yad2.co.il/realestate/item/v5emxm52?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=2
דירה,חיפה,בית לחם 13,4.5,3,90,4200,https://www.yad2.co.il/realestate/item/ybzozbjc?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=2
דירה,חיפה,אלברט איינשטיין 21,5.5,2,130,6800,https://www.yad2.co.il/realestate/item/5zhzbb8t?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=2
דירה,חיפה,השלום 12,3,0,70,3600,https://www.yad2.co.il/realestate/item/wohgyrf3?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=2
דירה,חיפה,בנימין ד'ישראלי 51,4,1,90,4950,https://www.yad2.co.il/realestate/item/m8uxfw92?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=3
דירה,חיפה,"פלמ""ח 3",3,2,65,4100,https://www.yad2.co.il/realestate/item/6bz2v5ad?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=3
דירה,חיפה,אידר 6,5,2,141,5900,https://www.yad2.co.il/realestate/item/cmhuyx8k?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=5
דירה,חיפה,יוסף 8,1,1,25,2200,https://www.yad2.co.il/realestate/item/sf1d2x64?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=5
דירה,חיפה,שושנת הכרמל 27,3,2,75,4500,https://www.yad2.co.il/realestate/item/awkudata?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=6
דירה,חיפה,פרץ מרקיש 7,4.5,11,100,5100,https://www.yad2.co.il/realestate/item/79vw24q6?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=6
דירה,חיפה,הגליל 60,4,2,111,5250,https://www.yad2.co.il/realestate/item/lnrma4fv?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=6
דירה,חיפה,"שדרות קק""ל 12",4,3,75,3600,https://www.yad2.co.il/realestate/item/m3uvafgq?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=12
דירת גן,חיפה,שמשון 17,3.5,0,80,3500,https://www.yad2.co.il/realestate/item/xva29akv?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=12
דירה,חיפה,אבן גבירול 8,2,3,40,2200,https://www.yad2.co.il/realestate/item/dbekcw6a?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=13
דירה,חיפה,הגליל 113,4,3,100,5600,https://www.yad2.co.il/realestate/item/wc4nzpej?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=14
דירת גן,חיפה,הרב אוחנה 37,4,0,98,3500,https://www.yad2.co.il/realestate/item/32bbgl4a?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=16
דירה,חיפה,דרך יד לבנים 35,2.5,3,62,2190,https://www.yad2.co.il/realestate/item/vbllehqv?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=19
יחידת דיור,חיפה,עמק הזיתים 5,1.5,1,30,1600,https://www.yad2.co.il/realestate/item/o5xdkne6?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=20
דירה,חיפה,דרך יד לבנים 82,2.5,1,90,3000,https://www.yad2.co.il/realestate/item/vqfd0ur9?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=21
דירה,חיפה,מסדה 21,3.5,1,85,3300,https://www.yad2.co.il/realestate/item/aicippsp?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=22
דירה,חיפה,שדרות דגניה 22,2.5,3,60,2100,https://www.yad2.co.il/realestate/item/397c65ii?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=22
דירה,חיפה,נורית 32,4,1,103,4900,https://www.yad2.co.il/realestate/item/dxva9fsu?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=23
דירת גן,חיפה,התקווה 20,3.5,0,120,4600,https://www.yad2.co.il/realestate/item/pxmbjhxs?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=23
דירה,חיפה,שדרות הצבי 28,3,2,100,4600,https://www.yad2.co.il/realestate/item/zrqlt282?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=24
דירה,חיפה,חטיבת כרמלי 41,2,0,35,2200,https://www.yad2.co.il/realestate/item/ujg4w34e?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=25
דירה,חיפה,חטיבת עודד 4,4,2,90,4500,https://www.yad2.co.il/realestate/item/1i3cq0b1?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=25
דירה,חיפה,בן שמן 6,1.5,4,35,2200,https://www.yad2.co.il/realestate/item/b9q35zym?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=26
דירה,חיפה,תל חי 30,1.5,1,90,2600,https://www.yad2.co.il/realestate/item/8jjtzz78?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=26
